Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,USA,USA,US,367.18,437.08,36.97,17.11,,false,
2024-01-01 01:00:00,USA,USA,US,357.11,425.68,38.4,18.36,,false,
2024-01-01 02:00:00,USA,USA,US,353.93,422.37,38.78,18.33,,false,
2024-01-01 03:00:00,USA,USA,US,353.26,421.53,38.93,17.98,,false,
2024-01-01 04:00:00,USA,USA,US,356.92,425.61,38.42,17.06,,false,
2024-01-01 05:00:00,USA,USA,US,360.3,429.54,37.84,15.95,,false,
2024-01-01 06:00:00,USA,USA,US,363.26,433.07,37.22,15.02,,false,
2024-01-01 07:00:00,USA,USA,US,364.63,434.76,36.89,14.4,,false,
2024-01-01 08:00:00,USA,USA,US,365.98,436.44,36.48,13.81,,false,
2024-01-01 09:00:00,USA,USA,US,368.0,438.95,36.04,13.3,,false,
2024-01-01 10:00:00,USA,USA,US,372.36,443.77,35.46,12.86,,false,
2024-01-01 11:00:00,USA,USA,US,380.05,452.04,34.51,12.34,,false,
2024-01-01 12:00:00,USA,USA,US,382.77,454.91,34.28,12.57,,false,
2024-01-01 13:00:00,USA,USA,US,384.48,456.45,34.36,13.02,,false,
2024-01-01 14:00:00,USA,USA,US,379.32,450.59,35.36,14.39,,false,
2024-01-01 15:00:00,USA,USA,US,369.6,439.54,37.19,16.42,,false,
2024-01-01 16:00:00,USA,USA,US,364.65,433.62,38.45,17.81,,false,
2024-01-01 17:00:00,USA,USA,US,363.66,432.31,38.81,18.17,,false,
2024-01-01 18:00:00,USA,USA,US,359.64,428.04,39.28,18.61,,false,
2024-01-01 19:00:00,USA,USA,US,351.83,420.04,39.94,19.15,,false,
2024-01-01 20:00:00,USA,USA,US,347.18,415.32,40.32,19.54,,false,
2024-01-01 21:00:00,USA,USA,US,348.18,417.0,39.77,19.27,,false,
2024-01-01 22:00:00,USA,USA,US,357.94,427.82,38.22,18.31,,false,
2024-01-01 23:00:00,USA,USA,US,372.74,443.59,36.17,16.84,,false,
2024-01-02 00:00:00,USA,USA,US,373.92,444.76,35.86,16.82,,false,
2024-01-02 01:00:00,USA,USA,US,369.41,439.66,36.38,17.36,,false,
2024-01-02 02:00:00,USA,USA,US,364.96,434.87,36.95,17.72,,false,
2024-01-02 03:00:00,USA,USA,US,362.58,432.05,37.44,17.74,,false,
2024-01-02 04:00:00,USA,USA,US,357.16,426.03,38.3,18.07,,false,
2024-01-02 05:00:00,USA,USA,US,349.88,417.91,39.41,18.54,,false,
2024-01-02 06:00:00,USA,USA,US,345.4,413.49,39.74,18.49,,false,
2024-01-02 07:00:00,USA,USA,US,345.69,413.98,39.61,18.1,,false,
