instance_type,region,hourly_cost,monthly_cost,carbon_kg,energy_kwh,water_liters,carbon_per_dollar
t3.micro,us-east-1,0.0104,7.592,4.981374,10.95,23.651999999999997,0.6561346153846154
t3.small,us-east-1,0.0208,15.184,9.962748,21.9,47.303999999999995,0.6561346153846154
t3.medium,us-east-1,0.0416,30.368,19.925496,43.8,94.60799999999999,0.6561346153846154
t3.large,us-east-1,0.0832,60.736,16.60458,36.5,78.84,0.27338942307692304
t3.xlarge,us-east-1,0.1664,121.472,16.60458,36.5,78.84,0.13669471153846152
m5.large,us-east-1,0.096,70.08,24.90687,54.75,118.26,0.35540625000000003
m5.xlarge,us-east-1,0.192,140.16,16.60458,36.5,78.84,0.11846875
c5.large,us-east-1,0.085,62.050000000000004,16.60458,36.5,78.84,0.26759999999999995
c5.xlarge,us-east-1,0.17,124.10000000000001,31.548702,69.35,149.79599999999996,0.25421999999999995
r5.large,us-east-1,0.126,91.98,16.60458,36.5,78.84,0.1805238095238095
r5.xlarge,us-east-1,0.252,183.96,16.60458,36.5,78.84,0.09026190476190475
t3.micro,us-west-2,0.0104,7.592,1.7611322999999997,10.95,21.965699999999995,0.23197211538461535
t3.small,us-west-2,0.0208,15.184,3.5222645999999993,21.9,43.93139999999999,0.23197211538461535
t3.medium,us-west-2,0.0416,30.368,7.044529199999999,43.8,87.86279999999998,0.23197211538461535
t3.large,us-west-2,0.0832,60.736,5.8704410000000005,36.5,73.219,0.09665504807692309
t3.xlarge,us-west-2,0.1664,121.472,5.8704410000000005,36.5,73.219,0.04832752403846154
m5.large,us-west-2,0.096,70.08,8.8056615,54.75,109.82849999999998,0.12565156249999998
m5.xlarge,us-west-2,0.192,140.16,5.8704410000000005,36.5,73.219,0.04188385416666667
c5.large,us-west-2,0.085,62.050000000000004,5.8704410000000005,36.5,73.219,0.09460823529411765
c5.xlarge,us-west-2,0.17,124.10000000000001,11.1538379,69.35,139.11609999999996,0.08987782352941175
r5.large,us-west-2,0.126,91.98,5.8704410000000005,36.5,73.219,0.06382301587301588
r5.xlarge,us-west-2,0.252,183.96,5.8704410000000005,36.5,73.219,0.03191150793650794
t3.micro,eu-west-1,0.0104,7.592,3.979229999999999,10.95,18.888749999999995,0.5241346153846153
t3.small,eu-west-1,0.0208,15.184,7.958459999999998,21.9,37.77749999999999,0.5241346153846153
t3.medium,eu-west-1,0.0416,30.368,15.916919999999996,43.8,75.55499999999998,0.5241346153846153
t3.large,eu-west-1,0.0832,60.736,13.2641,36.5,62.96249999999999,0.21838942307692308
t3.xlarge,eu-west-1,0.1664,121.472,13.2641,36.5,62.96249999999999,0.10919471153846154
m5.large,eu-west-1,0.096,70.08,19.89615,54.75,94.44375,0.28390624999999997
m5.xlarge,eu-west-1,0.192,140.16,13.2641,36.5,62.96249999999999,0.09463541666666667
c5.large,eu-west-1,0.085,62.050000000000004,13.2641,36.5,62.96249999999999,0.2137647058823529
c5.xlarge,eu-west-1,0.17,124.10000000000001,25.201789999999992,69.35,119.62874999999997,0.20307647058823522
r5.large,eu-west-1,0.126,91.98,13.2641,36.5,62.96249999999999,0.1442063492063492
r5.xlarge,eu-west-1,0.252,183.96,13.2641,36.5,62.96249999999999,0.0721031746031746
t3.micro,eu-central-1,0.0104,7.592,4.086539999999999,10.95,21.024,0.5382692307692307
t3.small,eu-central-1,0.0208,15.184,8.173079999999999,21.9,42.048,0.5382692307692307
t3.medium,eu-central-1,0.0416,30.368,16.346159999999998,43.8,84.096,0.5382692307692307
t3.large,eu-central-1,0.0832,60.736,13.621799999999999,36.5,70.08,0.22427884615384613
t3.xlarge,eu-central-1,0.1664,121.472,13.621799999999999,36.5,70.08,0.11213942307692307
m5.large,eu-central-1,0.096,70.08,20.4327,54.75,105.12,0.2915625
m5.xlarge,eu-central-1,0.192,140.16,13.621799999999999,36.5,70.08,0.0971875
c5.large,eu-central-1,0.085,62.050000000000004,13.621799999999999,36.5,70.08,0.21952941176470583
c5.xlarge,eu-central-1,0.17,124.10000000000001,25.881419999999995,69.35,133.152,0.20855294117647052
r5.large,eu-central-1,0.126,91.98,13.621799999999999,36.5,70.08,0.14809523809523809
r5.xlarge,eu-central-1,0.252,183.96,13.621799999999999,36.5,70.08,0.07404761904761904
t3.micro,ap-southeast-2,0.0104,7.592,10.640115,10.95,28.283849999999997,1.4014903846153846
t3.small,ap-southeast-2,0.0208,15.184,21.28023,21.9,56.567699999999995,1.4014903846153846
t3.medium,ap-southeast-2,0.0416,30.368,42.56046,43.8,113.13539999999999,1.4014903846153846
t3.large,ap-southeast-2,0.0832,60.736,35.46704999999999,36.5,94.2795,0.5839543269230768
t3.xlarge,ap-southeast-2,0.1664,121.472,35.46704999999999,36.5,94.2795,0.2919771634615384
m5.large,ap-southeast-2,0.096,70.08,53.20057500000001,54.75,141.41925,0.7591406250000001
m5.xlarge,ap-southeast-2,0.192,140.16,35.46704999999999,36.5,94.2795,0.25304687499999995
c5.large,ap-southeast-2,0.085,62.050000000000004,35.46704999999999,36.5,94.2795,0.5715882352941175
c5.xlarge,ap-southeast-2,0.17,124.10000000000001,67.38739499999998,69.35,179.13105,0.5430088235294116
r5.large,ap-southeast-2,0.126,91.98,35.46704999999999,36.5,94.2795,0.385595238095238
r5.xlarge,ap-southeast-2,0.252,183.96,35.46704999999999,36.5,94.2795,0.192797619047619
